16
41	18	22	27	50	19	29	33	15	30	25	36	21	17	23	45
35	25	17	25	32	16	34	19	49	49	41	38	15	49	50	19
22	21	30	27	22	29	31	27	38	38	49	15	29	47	28	37
29	26	50	41	22	48	39	48	16	46	32	16	29	27	22	31
44	37	25	32	25	20	25	21	38	29	25	50	38	37	20	38
24	39	44	18	44	50	34	21	25	29	44	32	46	43	17	44
35	18	41	36	44	22	29	36	34	36	39	35	35	21	35	16
37	21	31	40	25	19	50	19	37	38	29	39	24	25	40	44
37	15	26	44	20	18	45	34	44	31	48	41	21	18	16	43
42	45	36	17	34	33	23	23	41	39	36	31	43	20	38	20
41	18	43	36	27	37	44	19	42	49	15	26	18	40	28	33
41	45	47	26	26	47	34	44	16	21	17	49	33	39	30	29
34	23	18	49	40	49	37	26	22	38	44	41	25	24	35	20
43	28	36	33	22	39	36	37	25	48	17	37	16	24	30	48
28	15	31	47	37	34	16	18	17	17	48	28	18	48	27	23
24	15	30	20	28	15	38	27	18	22	27	50	40	23	28	25
